date,price
2011-12-26,3540.539677419355
2011-12-27,3541.847741935484
2011-12-28,3543.155806451613
2011-12-29,3544.463870967742
2011-12-30,3545.771935483871
2011-12-31,3547.08
2012-01-01,3545.4338709677418
2012-01-02,3543.7877419354836
2012-01-03,3542.141612903226
2012-01-04,3540.4954838709677
2012-01-05,3538.8493548387096
2012-01-06,3537.2032258064514
2012-01-07,3535.5570967741937
2012-01-08,3533.9109677419356
2012-01-09,3532.2648387096774
2012-01-10,3530.6187096774192
2012-01-11,3528.972580645161
2012-01-12,3527.3264516129034
2012-01-13,3525.680322580645
2012-01-14,3524.034193548387
2012-01-15,3522.388064516129
2012-01-16,3520.741935483871
2012-01-17,3519.095806451613
2012-01-18,3517.449677419355
2012-01-19,3515.8035483870967
2012-01-20,3514.157419354839
2012-01-21,3512.511290322581
2012-01-22,3510.8651612903227
2012-01-23,3509.2190322580645
2012-01-24,3507.5729032258064
2012-01-25,3505.9267741935487
2012-01-26,3504.2806451612905
2012-01-27,3502.6345161290324
2012-01-28,3500.988387096774
2012-01-29,3499.3422580645165
2012-01-30,3497.6961290322583
2012-01-31,3496.05
2012-02-01,3495.0593103448277
2012-02-02,3494.0686206896553
2012-02-03,3493.077931034483
2012-02-04,3492.0872413793104
2012-02-05,3491.096551724138
2012-02-06,3490.1058620689655
2012-02-07,3489.115172413793
2012-02-08,3488.124482758621
2012-02-09,3487.1337931034486
2012-02-10,3486.143103448276
2012-02-11,3485.1524137931037
2012-02-12,3484.1617241379313
2012-02-13,3483.171034482759
2012-02-14,3482.1803448275864
2012-02-15,3481.189655172414
2012-02-16,3480.1989655172415
2012-02-17,3479.208275862069
2012-02-18,3478.2175862068966
2012-02-19,3477.226896551724
2012-02-20,3476.2362068965517
2012-02-21,3475.2455172413793
2012-02-22,3474.2548275862073
2012-02-23,3473.264137931035
2012-02-24,3472.2734482758624
2012-02-25,3471.28275862069
2012-02-26,3470.2920689655175
2012-02-27,3469.301379310345
2012-02-28,3468.3106896551726
2012-02-29,3467.32
2012-03-01,3472.8587096774195
2012-03-02,3478.397419354839
2012-03-03,3483.936129032258
2012-03-04,3489.4748387096774
2012-03-05,3495.0135483870968
2012-03-06,3500.552258064516
2012-03-07,3506.0909677419354
2012-03-08,3511.629677419355
2012-03-09,3517.1683870967745
2012-03-10,3522.707096774194
